Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Platelet activation, signaling and aggregation	10/205	9.833482835471834E-5	0.0023510963506628113	0	0	4.759752096244987	43.918862244430066	GNB1;PLCG2;ACTN4;RAC1;CALM1;ALDOA;YWHAZ;VCL;VEGFA;SOD1
Parkinson's disease	8/131	1.0571148759225328E-4	0.0024531283444202308	0	0	6.002061147372037	54.94765132511886	UQCRQ;COX4I1;NDUFA10;ATP5D;UQCRFS1;COX7A2;NDUFV3;COX6A1
Renal cell carcinoma	6/70	1.2368735418043523E-4	0.002788266355667526	0	0	8.596656976744185	77.35060051717686	EGLN1;MAP2K1;EGLN3;SLC2A1;RAC1;VEGFA
Oxidative phosphorylation	8/136	1.3720721218774923E-4	0.003007124733781504	0	0	5.766138497652582	51.2841411863427	UQCRQ;COX4I1;NDUFA10;ATP5D;UQCRFS1;COX7A2;NDUFV3;COX6A1
Basigin interactions	4/25	1.52945592028085E-4	0.0032614614083826773	0	0	17.342988808426597	152.36558481376989	SLC7A5;SLC16A1;BSG;SLC16A3
Galactose metabolism	4/26	1.7919575990089627E-4	0.0036561526621856403	0	0	16.553833263510683	142.81044463485887	PFKL;PGM2;HK2;PFKP
Prolactin activation of MAPK signaling	6/75	1.81448306211208E-4	0.0036561526621856403	0	0	7.971688574317493	68.67242817054128	SOCS2;MAP2K1;CISH;RAC1;PPIB;YWHAZ
Interleukin-2 signaling pathway	22/847	1.8535628198659772E-4	0.0036561526621856403	0	0	2.539899497487437	21.82594242912167	IFITM3;IDI1;MAP2K1;DUSP3;TPI1;CISH;GZMB;SLC2A3;VEGFA;SOCS2;SQLE;SLC7A5;IL2RA;NAMPT;CTNNA1;PTPN9;TAGLN2;GARS;PIM2;VIM;LDLR;GAPDH
Muscle contraction	5/49	2.0210862094608242E-4	0.0037743205014227994	0	0	10.382470538720538	88.32061692658047	ITGB5;TPM4;VIM;CALM1;VCL
Interleukin-5 regulation of apoptosis	8/144	2.034457673795903E-4	0.0037743205014227994	0	0	5.4247445457056065	46.110931262314054	IDI1;TPM4;IL2RA;ENO1;HMGCR;SOD2;LMNB1;HBEGF
Vitamin C in the brain	3/11	2.056980754894555E-4	0.0037743205014227994	0	0	34.00974770642202	288.71218725226475	SLC2A1;SLC2A3;P4HB
Translation factors	5/50	2.2256402106667915E-4	0.003990977559582043	0	0	10.151234567901234	85.3748850717271	EIF6;ETF1;EEF2;EIF3C;EIF3D
Cardiac muscle contraction	6/80	2.5867486173066574E-4	0.004496643943790889	0	0	7.431175361407919	61.381052545484266	TPM4;UQCRQ;COX4I1;UQCRFS1;COX7A2;COX6A1
mTOR signaling pathway	7/113	2.621617508420544E-4	0.004496643943790889	0	0	6.07084288485276	50.06350256281679	SREBF1;MAP2K1;BNIP3;RAC1;EEF2;YWHAZ;VEGFA
EGFR1 pathway	8/152	2.939387946663953E-4	0.004934419340250763	0	0	5.121283255086072	41.64698725649478	CDK9;CDKN1A;ITGB5;EMP1;UBE2A;VCL;HBEGF;VEGFA
Response to elevated platelet cytosolic calcium	6/83	3.161196479452519E-4	0.005196216713100078	0	0	7.140561763817578	57.54857052635194	ACTN4;ALDOA;CALM1;VCL;SOD1;VEGFA
Transmembrane transport of small molecules	14/432	3.3810272753632785E-4	0.00544414391890128	0	0	3.132630654369785	25.03648785732417	ATP8B4;SLC16A1;TFRC;SLC31A1;SLC2A1;SLC2A3;ATP10A;HK2;SLC6A6;SLC7A5;GNB1;SLC39A6;GNAS;SLC16A3
Myc active pathway	6/85	3.5965730320357655E-4	0.005675392244552438	0	0	6.959081542537533	55.188014354123446	LDHA;TFRC;HSPA4;SLC2A1;ENO1;GAPDH
Glycogen breakdown (glycogenolysis)	3/14	4.4279571035063216E-4	0.006850310107189192	0	0	24.730608840700583	190.97970427888723	PGM2;PYGL;CALM1
RAGE pathway	5/60	5.246436879479762E-4	0.00796045903444141	0	0	8.301346801346801	62.698339197280816	HMGCR;HPSE;LDLR;SREBF2;VEGFA
Terpenoid backbone biosynthesis	3/15	5.489956177091906E-4	0.008172783818350026	0	0	22.668577981651374	170.1825379506958	IDI1;HMGCS1;HMGCR
fMLP induced chemokine gene expression in HMC-1 cells	4/35	5.806364570139556E-4	0.008483743788592795	0	0	11.742530102571726	87.49812108048472	MAP2K1;NFATC2;RAC1;CALM1
Signaling events mediated by focal adhesion kinase	5/62	6.106189320664936E-4	0.008759606134553882	0	0	8.00925925925926	59.276827904480825	MAP2K1;ITGB5;RAC1;ACTN4;VCL
Glycogen metabolism	4/36	6.476043132735244E-4	0.009124282199514477	0	0	11.375	83.51787393705796	PPP2CB;PYGL;PPP2R3A;CALM1
Striated muscle contraction	4/38	7.97649206190369E-4	0.011041144275161424	0	0	10.70479804825156	76.36633415436181	TPM4;ACTN4;VIM;ACTG1
E-cadherin nascent AJ-like junctions pathway	4/39	8.811814364263576E-4	0.011987106092075796	0	0	10.398420013166557	73.14505488115569	ENAH;CSNK2B;CTNNA1;RAC1
Fatty acyl-CoA biosynthesis	3/18	9.607820826278929E-4	0.012848424799888264	0	0	18.13211009174312	125.97760244255696	ACLY;ACSL4;ELOVL6
Pathways in cancer	11/325	0.0010255791884202872	0.013486366327726776	0	0	3.247118592659994	22.348286453768328	EGLN1;LAMA5;CDKN1A;EGLN3;MAP2K1;TRAF6;PLCG2;CTNNA1;SLC2A1;RAC1;VEGFA
Signaling events mediated by VEGFR1 and VEGFR2	5/70	0.0010634570671795838	0.01375520698368347	0	0	7.02065527065527	48.06502279421244	MAP2K1;CTNNA1;PTPRJ;VCL;VEGFA
Calcineurin in effects in keratinocyte differentiation	3/19	0.0011316738061554169	0.01420050274994971	0	0	16.997993119266056	115.315362668869	CDKN1A;NFATC2;CALM1
Bacterial invasion of epithelial cells	5/71	0.0011338804477146157	0.01420050274994971	0	0	6.913930976430977	46.89103698891668	ARPC2;CTNNA1;RAC1;VCL;ACTG1
Immune system signaling by interferons, interleukins, prolactin, and growth hormones	10/280	0.0011553822143114346	0.014243696360808154	0	0	3.424433912585571	23.160556301186762	IFITM3;SOCS2;IFITM1;MAP2K1;IFITM2;CISH;TRAF6;IL2RA;EIF4A3;YWHAZ
Estrogen receptor signaling pathway	3/20	0.0013205867537506347	0.01602989151860386	0	0	15.997301672962763	106.05697704926853	MAP2K1;GNB1;GNAS
Gastrin pathway	4/44	0.0013930645095456334	0.016653453000477346	0	0	9.0963133640553	59.81962416973373	SREBF1;SREBF2;VEGFA;HBEGF
VEGF signaling pathway	5/76	0.00153893189503445	0.018122645748987778	0	0	6.425404277516954	41.61520177586859	MAP2K1;PLCG2;NFATC2;RAC1;VEGFA
TGF-beta regulation of extracellular matrix	15/565	0.00160708987631704	0.018646969300208007	0	0	2.5457634598411296	16.37773711570659	IDI1;MAP2K1;HMGCS1;SLC2A1;HMGCR;SREBF2;VEGFA;SLC7A5;ACLY;PKM;GM2A;IMPA2;GARS;CKB;PFKP
Syndecan 1 pathway	4/46	0.0016460361476461555	0.01882206551438865	0	0	8.662277814351548	55.51987536075704	LAMA5;BSG;HPSE;PPIB
Integrin signaling pathway	7/155	0.0017102027848137703	0.01927642853168664	0	0	4.338753473099268	27.642820241487858	MAP2K1;ARPC2;PLCG2;RAC1;VCL;RHOQ;ACTG1
Leukocyte transendothelial migration	6/117	0.0019215308471193572	0.02135334983629821	0	0	4.944814582023884	30.92800093050788	PLCG2;CTNNA1;ACTN4;RAC1;VCL;ACTG1
SLC-mediated transmembrane transport	9/251	0.0019670720829885113	0.021555831576082436	0	0	3.4272766256042413	21.356077277430124	SLC6A6;SLC7A5;SLC16A1;SLC31A1;SLC39A6;SLC2A1;SLC2A3;SLC16A3;HK2
Phosphatidylglycerol biosynthesis	2/7	0.002460962156036566	0.026558547749889527	0	0	36.11689497716895	216.96151571006578	PLD3;CDS2
MicroRNAs in cardiomyocyte hypertrophy	5/85	0.0025224297168212383	0.026558547749889527	0	0	5.69994212962963	34.100089999830246	CDK9;MAP2K1;CISH;RAC1;CALM1
Cellular response to hypoxia	3/25	0.002558237806073009	0.026558547749889527	0	0	12.358423686405338	73.76046842769108	EGLN1;EGLN3;VEGFA
Phosphoinositides and their downstream targets	3/25	0.002558237806073009	0.026558547749889527	0	0	12.358423686405338	73.76046842769108	PFKL;RAC1;PFKP
Neurotrophin signaling pathway	6/126	0.0027886117444478925	0.028574216446355678	0	0	4.571860465116279	26.89264969965738	MAP2K1;TRAF6;PLCG2;RAC1;CALM1;YWHAZ
Interleukin-9 regulation of target genes	3/26	0.002868548975158989	0.02864917900506889	0	0	11.820502592740327	69.19661886688903	SOCS2;CISH;GZMB
Steroid biosynthesis	3/26	0.002868548975158989	0.02864917900506889	0	0	11.820502592740327	69.19661886688903	SQLE;MSMO1;HSD17B7
Arginine and proline metabolism	4/54	0.0029783024508753426	0.02937350792175807	0	0	7.273364055299539	42.304807696985	OAT;P4HA1;P4HA2;CKB
PDGFB signaling pathway	6/129	0.0031342426785474333	0.030236689118905254	0	0	4.459671015314805	25.71164324180978	MAP2K1;ARPC2;PTPRJ;ACTN4;RAC1;YWHAZ
Fatty acid, triacylglycerol, and ketone body metabolism	7/173	0.003171572917529824	0.030236689118905254	0	0	3.864739331156401	22.235884507777467	ACLY;SREBF1;HMGCS1;ACSL4;ELOVL6;HMGCR;SREBF2
Insulin regulation of blood glucose	3/27	0.0032010505453444055	0.030236689118905254	0	0	11.327408256880734	65.06776197069918	TRIP10;YWHAZ;RHOQ
Shuttle for transfer of acetyl groups from mitochondria to the cytosol	2/8	0.003257437991263557	0.030236689118905254	0	0	30.095890410958905	172.35357512013266	ACLY;MDH1
Vitamin C (ascorbate) metabolism	2/8	0.003257437991263557	0.030236689118905254	0	0	30.095890410958905	172.35357512013266	SLC2A1;SLC2A3
Immune system	21/998	0.0036043813888164376	0.03288076431401064	0	0	2.0206857727737972	11.367580231407823	IFITM3;IFITM1;CDKN1A;MAP2K1;IFITM2;DUSP3;CISH;ITGB5;EIF4A3;KIF23;UBE2A;YWHAZ;PSMD8;ENAH;SOCS2;PPP2CB;TRAF6;IL2RA;PLCG2;RAC1;CALM1
Pathogenic Escherichia coli infection	4/57	0.0036256356087692337	0.03288076431401064	0	0	6.860620815581254	38.55480687992806	TUBB6;ARPC2;YWHAZ;ACTG1
Actin cytoskeleton regulation	8/226	0.0037395784157856935	0.03352872011426037	0	0	3.3701167248137143	18.834849027343992	ENAH;MAP2K1;ARPC2;ITGB5;ACTN4;RAC1;VCL;ACTG1
Influence of Ras and Rho proteins on G1 to S transition	3/29	0.003934562011373557	0.03449299363304152	0	0	10.45501058574453	57.899385562911895	CDKN1A;MAP2K1;RAC1
Statin pathway	3/29	0.003934562011373557	0.03449299363304152	0	0	10.45501058574453	57.899385562911895	SQLE;HMGCR;LDLR
Caspase cascade in apoptosis	4/59	0.004106521026101005	0.03560489109443619	0	0	6.610473397570172	36.325735087509116	SREBF1;GZMB;VIM;LMNB1
Rapid glucocorticoid receptor pathway	2/9	0.004157725768762974	0.03565701773428246	0	0	25.795172863666014	141.42943958495994	GNB1;GNAS
Signaling pathway from G-protein families	3/30	0.004336479975396582	0.036790136565461325	0	0	10.067278287461773	54.772963717651514	MAP2K1;NFATC2;CALM1
Focal adhesion	8/233	0.004489261118217722	0.03768113853482747	0	0	3.2641001564945227	17.64594463821407	LAMA5;MAP2K1;ITGB5;ACTN4;RAC1;VCL;VEGFA;ACTG1
Clathrin derived vesicle budding	4/61	0.004628754424192771	0.03804257542383434	0	0	6.377880184331797	34.2840874579846	RAB5C;TFRC;SNX9;SNX5
Leptin signaling pathway	4/61	0.004628754424192771	0.03804257542383434	0	0	6.377880184331797	34.2840874579846	SOCS2;MAP2K1;CISH;RAC1
Shigellosis	4/62	0.004905868094572428	0.039904432233171604	0	0	6.267598919434292	33.32684926833089	ARPC2;RAC1;VCL;ACTG1
Glioma	4/65	0.005803488549550102	0.04672400475096971	0	0	5.958449799803581	30.681822126590934	CDKN1A;MAP2K1;PLCG2;CALM1
Endochondral ossification	4/66	0.0061254078718827295	0.04842521983695536	0	0	5.862048461424112	29.8689537558048	HMGCS1;CALM1;VEGFA;BMPR1A
Amoebiasis	5/105	0.006221346975705455	0.04842521983695536	0	0	4.555324074074074	23.13999328802141	LAMA5;RAB5C;GNAS;ACTN4;VCL
Cardiac protection against reactive oxygen species	2/11	0.006260294579682441	0.04842521983695536	0	0	20.060882800608827	101.77945134629239	SOD2;SOD1
Erythropoietin-mediated neuroprotection through NF-kB	2/11	0.006260294579682441	0.04842521983695536	0	0	20.060882800608827	101.77945134629239	CDKN1A;SOD2
Signal transduction by L1	3/35	0.006713780099351802	0.05113019007024606	0	0	8.492115825688073	42.491092434424914	MAP2K1;CSNK2B;RAC1
AMPK signaling	4/68	0.006804397918093582	0.05113019007024606	0	0	5.678283410138249	28.335691076832465	SREBF1;CDKN1A;HMGCR;EEF2
CD8/T cell receptor downstream pathway	4/68	0.006804397918093582	0.05113019007024606	0	0	5.678283410138249	28.335691076832465	MAP2K1;IL2RA;GZMB;NFATC2
NFAT involvement in hypertrophy of the heart	4/69	0.007161818454930173	0.05207366468672205	0	0	5.590641616448068	27.612130618708388	MAP2K1;NFATC2;CALM1;HBEGF
GM-CSF-mediated signaling events	3/36	0.007265252392353305	0.05207366468672205	0	0	8.234361968306922	40.551369126213295	MAP2K1;CISH;YWHAZ
Phospholipids as signaling intermediaries	3/36	0.007265252392353305	0.05207366468672205	0	0	8.234361968306922	40.551369126213295	MAP2K1;GNB1;RAC1
Phagosome	6/154	0.007379410901431001	0.05207366468672205	0	0	3.7016341923318667	18.171549779284003	TUBB6;RAB5C;TFRC;ITGB5;RAC1;ACTG1
Bile salt and organic anion SLC transporters	2/12	0.007457951976678824	0.05207366468672205	0	0	18.053881278538814	88.4364759209951	SLC16A1;SLC16A3
ERK inactivation	2/12	0.007457951976678824	0.05207366468672205	0	0	18.053881278538814	88.4364759209951	PPP2CB;DUSP3
Facilitative sodium-independent glucose transporters	2/12	0.007457951976678824	0.05207366468672205	0	0	18.053881278538814	88.4364759209951	SLC2A1;SLC2A3
Salmonella infection	2/12	0.007457951976678824	0.05207366468672205	0	0	18.053881278538814	88.4364759209951	ARPC2;RAC1
CDC42 signaling events	4/70	0.007531417128035749	0.05212533433351058	0	0	5.505655634687892	26.915344858211153	ENAH;ARPC2;CTNNA1;RAC1
Myometrial relaxation and contraction pathways	6/155	0.007607701675528619	0.05219544888688765	0	0	3.676603714687061	17.93665743482821	GNB1;PLCG2;GNAS;CALM1;YWHAZ;ACTG1
Epidermal growth factor receptor (EGFR) pathway	5/111	0.007832194385535198	0.053272425605062686	0	0	4.2961652690426275	20.834307409127817	MAP2K1;PLCG2;RAC1;RHOQ;ACTG1
Triglyceride biosynthesis	3/38	0.008446659171996499	0.056960804159873826	0	0	7.763040629095675	37.06063392869905	ACLY;ACSL4;ELOVL6
Toll receptor cascades	6/159	0.008572011558810128	0.05731624677882365	0	0	3.5797537619699042	17.03695330445564	PPP2CB;MAP2K1;DUSP3;TRAF6;PLCG2;UBE2A
Angiotensin II-mediated activation of JNK pathway via Pyk2-dependent signaling	3/39	0.009077117513880677	0.05968204765376545	0	0	7.547018348623853	35.486069642889404	MAP2K1;RAC1;CALM1
Tricarboxylic acid (TCA) cycle	3/39	0.009077117513880677	0.05968204765376545	0	0	7.547018348623853	35.486069642889404	ACLY;MDH1;ACO2
Antigen-activated B-cell receptor generation of second messengers	7/211	0.009187886358524692	0.059911093693189935	0	0	3.1387438152831226	14.720298456656755	IFITM1;MAP2K1;TRAF6;PLCG2;NFATC2;RAC1;CALM1
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	4/75	0.009567798754619317	0.06187699358520198	0	0	5.116635295644837	23.789039134339948	ITGB5;CTNNA1;ACTN4;ACTG1
MAP kinase inactivation of SMRT corepressor	2/14	0.010134740685143735	0.06501065366323909	0	0	15.04337899543379	69.07597834982197	MAP2K1;RAC1
Bioactive peptide-induced signaling pathway	3/41	0.010418714247066934	0.06524099635663341	0	0	7.14908256880734	32.62949695283876	MAP2K1;GNB1;CALM1
Fc epsilon receptor I signaling in mast cells	3/41	0.010418714247066934	0.06524099635663341	0	0	7.14908256880734	32.62949695283876	MAP2K1;NFATC2;CALM1
Plasma membrane estrogen receptor signaling	3/41	0.010418714247066934	0.06524099635663341	0	0	7.14908256880734	32.62949695283876	GNB1;GNAS;HBEGF
Phosphatidylinositol signaling system	4/78	0.010945908289404244	0.06800253260110195	0	0	4.908456843940715	22.160649738064016	IMPA2;PLCG2;CALM1;CDS2
Bladder cancer	3/42	0.011130266915608394	0.06807581857686065	0	0	6.965419901199717	31.331065628975033	CDKN1A;MAP2K1;VEGFA
Hexose transport	3/42	0.011130266915608394	0.06807581857686065	0	0	6.965419901199717	31.331065628975033	SLC2A1;SLC2A3;HK2
Signaling events mediated by hepatocyte growth factor receptor (c-Met)	4/79	0.011432200513113028	0.06938466311420137	0	0	4.8427649769585255	21.65355818691033	MAP2K1;CTNNA1;PTPRJ;RAC1
Signaling by NGF	7/221	0.01164923202360361	0.07016216844750571	0	0	2.9905450257664423	13.315446650785788	PPP2CB;CDKN1A;MAP2K1;DUSP3;TRAF6;RAC1;CALM1
Growth hormone receptor signaling	3/43	0.011869236514524829	0.07094566371181887	0	0	6.790940366972477	30.109708022795598	SOCS2;MAP2K1;CISH
Heart development	3/44	0.012635787678488521	0.07461852155144288	0	0	6.624972029536809	28.959224803853527	NFATC2;VEGFA;BMPR1A
Integration of energy metabolism	5/125	0.01267285410379385	0.07461852155144288	0	0	3.7922453703703702	16.56563907751247	ACLY;PPP2CB;GNB1;GNAS;SLC2A1
ATM-dependent DNA damage response	4/82	0.012973736926458625	0.07531081982974365	0	0	4.6557958170861395	20.228632965929275	CDKN1A;RAC1;SOD2;LDLR
Glyoxylate and dicarboxylate metabolism	2/16	0.013172234647027405	0.07531081982974365	0	0	12.893020221787346	55.82218894152436	MDH1;ACO2
Interleukin-9 signaling pathway	2/16	0.013172234647027405	0.07531081982974365	0	0	12.893020221787346	55.82218894152436	CDK9;MAP2K1
PI3K subunit p85 role in regulation of actin organization and cell migration	2/16	0.013172234647027405	0.07531081982974365	0	0	12.893020221787346	55.82218894152436	ARPC2;RAC1
Alpha-6 beta-1 and alpha-6 beta-4 integrin signaling	3/46	0.01425221269323918	0.08089925046737924	0	0	6.316193727330916	26.84914857211069	LAMA5;RAC1;YWHAZ
Beta-arrestin-dependent recruitment of Src kinases in GPCR signaling	2/17	0.014820910531193223	0.08177411474903114	0	0	12.032876712328767	50.67906204242654	MAP2K1;GNAS
Cell to cell adhesion signaling	2/17	0.014820910531193223	0.08177411474903114	0	0	12.032876712328767	50.67906204242654	CTNNA1;VCL
Chylomicron-mediated lipid transport	2/17	0.014820910531193223	0.08177411474903114	0	0	12.032876712328767	50.67906204242654	P4HB;LDLR
Eukaryotic protein translation	2/17	0.014820910531193223	0.08177411474903114	0	0	12.032876712328767	50.67906204242654	EIF6;EEF2
Actions of nitric oxide in the heart	3/47	0.01510233656432099	0.08274821909200876	0	0	6.172331109257715	25.880002955505574	GNB1;CALM1;VEGFA
Membrane trafficking	5/133	0.016191348615144627	0.08749982231061035	0	0	3.553783275462963	14.653237162303526	RAB5C;TFRC;SNX9;SNX5;COPE
